指标类型,指标,指标名称,指标计算方式
盈利能力,roeAvg,净资产收益率(平均)(%),归属母公司股东净利润/[(期初归属母公司股东的权益+期末归属母公司股东的权益)/2]*100%
,npMargin,销售净利率(%),净利润/营业收入*100%
,gpMargin,销售毛利率(%),毛利/营业收入X100%=(营业收入-营业成本)/营业收入X100%
,netProfit,净利润(元),
,epsTTM,每股收益,归属母公司股东的净利润TTM/最新总股本
,MBRevenue,主营营业收入(元),
,totalShare,总股本,
,liqaShare,流通股本,
营运能力,NRTurnRatio,应收账款周转率(次),营业收入/[(期初应收票据及应收账款净额+期末应收票据及应收账款净额)/2]
,NRTurnDays,应收账款周转天数(天),季报天数/应收账款周转率(一季报：90天，中报：180天，三季报：270天，年报：360天)
,INVTurnRatio,存货周转率(次),营业成本/[(期初存货净额+期末存货净额)/2]
,INVTurnDays,存货周转天数(天),季报天数/存货周转率(一季报：90天，中报：180天，三季报：270天，年报：360天)
,CATurnRatio,流动资产周转率(次),营业总收入/[(期初流动资产+期末流动资产)/2]
,AssetTurnRatio,总资产周转率,营业总收入/[(期初资产总额+期末资产总额)/2]
成长能力,YOYEquity,净资产同比增长率,(本期净资产-上年同期净资产)/上年同期净资产的绝对值*100%
,YOYAsset,总资产同比增长率,(本期总资产-上年同期总资产)/上年同期总资产的绝对值*100%
,YOYNI,净利润同比增长率,(本期净利润-上年同期净利润)/上年同期净利润的绝对值*100%
,YOYEPSBasic,基本每股收益同比增长率,(本期基本每股收益-上年同期基本每股收益)/上年同期基本每股收益的绝对值*100%
,YOYPNI,归属母公司股东净利润同比增长率,(本期归属母公司股东净利润-上年同期归属母公司股东净利润)/上年同期归属母公司股东净利润的绝对值*100%
偿债能力,currentRatio,流动比率,流动资产/流动负债
,quickRatio,速动比率,(流动资产-存货净额)/流动负债
,cashRatio,现金比率,(货币资金+交易性金融资产)/流动负债
,YOYLiability,总负债同比增长率,(本期总负债-上年同期总负债)/上年同期中负债的绝对值*100%
,liabilityToAsset,资产负债率,负债总额/资产总额
,assetToEquity,权益乘数,资产总额/股东权益总额=1/(1-资产负债率)
现金流量,CAToAsset,流动资产除以总资产,
,NCAToAsset,非流动资产除以总资产,
,tangibleAssetToAsset,有形资产除以总资产,
,ebitToInterest,已获利息倍数,息税前利润/利息费用
,CFOToOR,经营活动产生的现金流量净额除以营业收入,
,CFOToNP,经营性现金净流量除以净利润,
,CFOToGr,经营性现金净流量除以营业总收入,
杜邦指数,dupontAssetStoEquity,权益乘数,平均总资产/平均归属于母公司的股东权益
,dupontPnitoni,归属母公司股东的净利润/净利润,
,dupontNitogr,净利润/营业总收入,
,dupontTaxBurden,净利润/利润总额,
,dupontIntburden,利润总额/息税前利润,
,dupontEbittogr,息税前利润/营业总收入,
估值指标,peTTM,滚动市盈率,
,psTTM,滚动市销率,
,pcfNcfTTM,滚动市现率,
,pbMRQ,市净率,
